發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
105,05,12,11,10,2,12內湖區,內湖區文德路22巷53弄與文德路22巷62弄口,0,1,1,C03,1,24,2,8,40,4,01
105,05,12,11,10,2,12內湖區,內湖區文德路22巷53弄與文德路22巷62弄口,0,1,2,B03,2,36,3,8,40,4,01
105,01,04,19,24,2,12內湖區,內湖區瑞湖街101號,0,2,1,C03,1,24,2,7,50,14,09
105,01,04,19,24,2,12內湖區,內湖區瑞湖街101號,0,2,2,H01,2,31,2,7,50,14,09
105,01,04,22,31,2,12內湖區,內湖區民權東路6段55號,0,1,1,B03,1,40,3,7,50,14,08
105,01,04,22,31,2,12內湖區,內湖區民權東路6段55號,0,1,2,C03,1,19,2,7,50,14,08
105,01,04,22,31,2,12內湖區,內湖區民權東路6段55號,0,1,3,B12,1,57,3,7,50,14,08
105,01,14,09,15,2,12內湖區,內湖區潭美街293號,0,1,1,C03,2,29,3,7,40,14,09
105,01,14,09,15,2,12內湖區,內湖區潭美街293號,0,1,2,C03,2,23,2,7,40,14,09
105,04,18,19,45,2,12內湖區,內湖區永保街,0,2,1,C03,1,60,2,7,40,14,09
105,04,18,19,45,2,12內湖區,內湖區永保街,0,2,2,F01,1,61,2,7,40,14,09
105,05,27,19,16,2,12內湖區,內湖區行愛路與新湖二路口,0,1,1,A02,1,61,3,6,50,04,02
105,05,27,19,16,2,12內湖區,內湖區行愛路與新湖二路口,0,1,2,H01,2,26,2,6,50,04,02
105,05,31,16,53,2,12內湖區,內湖區堤頂大道1段與港墘路口,0,1,1,C03,1,38,2,8,50,03,03
105,05,31,16,53,2,12內湖區,內湖區堤頂大道1段與港墘路口,0,1,2,B03,1,24,3,8,50,03,03
105,07,27,18,13,2,12內湖區,內湖區成功路5段,0,2,1,C03,2,30,2,8,40,14,08
105,07,27,18,13,2,12內湖區,內湖區成功路5段,0,2,2,F01,1,53,2,8,40,14,08
105,08,08,21,55,2,12內湖區,內湖區潭美街與新明路219巷口,0,1,1,B12,2,24,3,8,40,03,02
105,08,08,21,55,2,12內湖區,內湖區潭美街與新明路219巷口,0,1,2,C02,1,36,2,8,40,03,02
105,03,12,10,05,2,12內湖區,內湖區內湖路2段103巷與環山路3段口,0,1,1,B12,1,33,3,6,50,3,04
105,03,12,10,05,2,12內湖區,內湖區內湖路2段103巷與環山路3段口,0,1,2,C03,1,39,2,6,50,3,04
105,01,19,17,50,2,12內湖區,內湖區瑞光路478巷與堤頂大道2段口,0,1,1,B02,2,49,3,6,50,4,02
105,01,19,17,50,2,12內湖區,內湖區瑞光路478巷與堤頂大道2段口,0,1,2,C03,1,44,2,6,50,4,02
105,01,22,21,45,2,12內湖區,內湖區瑞光路104號,0,1,1,B02,1,32,3,6,50,14,09
105,01,22,21,45,2,12內湖區,內湖區瑞光路104號,0,1,2,C03,2,35,2,6,50,14,09
105,01,24,21,51,2,12內湖區,內湖區成功路2段472號,0,2,1,C03,1,36,2,7,50,14,09
105,01,24,21,51,2,12內湖區,內湖區成功路2段472號,0,2,2,C03,1,29,2,7,50,14,09
105,01,26,19,03,2,12內湖區,內湖區民權東路6段與瑞光路口,0,1,1,B03,1,28,3,7,50,4,01
105,01,26,19,03,2,12內湖區,內湖區民權東路6段與瑞光路口,0,1,2,C03,2,40,2,7,50,4,01
105,01,26,21,40,2,12內湖區,內湖區安康路328巷與堤外便道口,0,1,1,B01,1,58,3,7,50,3,01
105,01,26,21,40,2,12內湖區,內湖區安康路328巷與堤外便道口,0,1,2,C03,2,33,2,7,50,3,01
105,02,10,15,30,2,12內湖區,內湖區成功路3段與康寧路1段口,0,2,1,B02,2,47,3,8,50,4,01
105,02,10,15,30,2,12內湖區,內湖區成功路3段與康寧路1段口,0,2,2,C03,1,76,2,8,50,4,01
105,02,10,15,30,2,12內湖區,內湖區成功路3段與康寧路1段口,0,2,3,H02,2,59,2,8,50,4,01
105,02,12,08,34,2,12內湖區,內湖區文湖街21巷90號,0,1,1,B03,1,34,2,8,30,15,09
105,02,12,08,34,2,12內湖區,內湖區文湖街21巷90號,0,1,2,,3,105,,8,30,15,09
105,02,13,12,26,2,12內湖區,內湖區康寧路3段與東湖路口,0,2,1,C03,1,18,2,8,50,3,01
105,02,13,12,26,2,12內湖區,內湖區康寧路3段與東湖路口,0,2,2,B01,1,57,3,8,50,3,01
105,02,13,12,26,2,12內湖區,內湖區康寧路3段與東湖路口,0,2,3,H02,1,17,2,8,50,3,01
105,02,15,08,30,2,12內湖區,內湖區康寧路3段21號,0,2,1,C03,2,32,2,7,50,3,04
105,02,15,08,30,2,12內湖區,內湖區康寧路3段21號,0,2,2,C03,1,32,3,7,50,3,04
105,02,15,08,30,2,12內湖區,內湖區康寧路3段21號,0,2,3,C03,2,33,2,7,50,3,04
105,02,19,21,10,2,12內湖區,內湖區環山路2段10巷,0,1,1,B03,1,72,2,7,50,11,22
105,02,19,21,10,2,12內湖區,內湖區環山路2段10巷,0,1,2,,3,105,,7,50,11,22
105,01,05,09,56,2,12內湖區,內湖區石潭路與行善路口,0,1,1,B03,1,44,3,8,50,3,02
105,01,05,09,56,2,12內湖區,內湖區石潭路與行善路口,0,1,2,C03,1,31,2,8,50,3,02
105,01,05,17,52,2,12內湖區,潭美街(基隆河12號水門)旁,0,1,1,C03,1,35,2,6,40,14,09
105,01,05,17,52,2,12內湖區,潭美街(基隆河12號水門)旁,0,1,2,A12,1,36,3,6,40,14,09
105,01,06,10,56,2,12內湖區,新明路367號前,0,1,1,B03,1,38,3,6,50,5,02
105,01,06,10,56,2,12內湖區,新明路367號前,0,1,2,C03,1,20,2,6,50,5,02
105,01,10,12,24,2,12內湖區,民權大橋上(松山往內湖)方向,0,1,1,C03,1,21,2,7,50,8,09
105,01,10,12,24,2,12內湖區,民權大橋上(松山往內湖)方向,0,1,2,B12,1,41,3,7,50,8,09
105,01,12,08,16,2,12內湖區,內湖區康寧路3段16巷101號,0,2,1,C04,1,47,2,7,50,14,09
105,01,12,08,16,2,12內湖區,內湖區康寧路3段16巷101號,0,2,2,H01,1,51,2,7,50,14,09
105,01,12,14,03,2,12內湖區,新湖一路191號前,0,1,1,A12,1,38,3,7,50,3,01
105,01,12,14,03,2,12內湖區,新湖一路191號前,0,1,2,H01,2,31,2,7,50,3,01
105,01,12,16,51,2,12內湖區,成功路4段61巷32弄口,0,1,1,C03,2,41,2,7,30,4,01
105,01,12,16,51,2,12內湖區,成功路4段61巷32弄口,0,1,2,B03,1,47,3,7,30,4,01
105,01,20,20,43,2,12內湖區,內湖區民權大橋,0,3,1,C03,2,24,2,6,50,8,12
105,01,20,20,43,2,12內湖區,內湖區民權大橋,0,3,2,B01,1,45,3,6,50,8,12
105,01,20,20,43,2,12內湖區,內湖區民權大橋,0,3,3,C03,2,31,2,6,50,8,12
105,01,20,20,43,2,12內湖區,內湖區民權大橋,0,3,4,C03,2,35,2,6,50,8,12
105,01,23,14,45,2,12內湖區,內湖區民權東路6段與舊宗路2段口,0,1,1,B01,1,62,3,6,50,5,01
105,01,23,14,45,2,12內湖區,內湖區民權東路6段與舊宗路2段口,0,1,2,C03,2,28,2,6,50,5,01
105,01,24,15,55,2,12內湖區,內湖區內湖路1段411巷74弄5號,0,1,1,H01,2,16,3,6,50,14,09
105,01,24,15,55,2,12內湖區,內湖區內湖路1段411巷74弄5號,0,1,2,C03,1,22,2,6,50,14,09
105,01,25,17,53,2,12內湖區,內湖區成功路4段312號,0,1,1,C03,1,20,2,7,50,14,08
105,01,25,17,53,2,12內湖區,內湖區成功路4段312號,0,1,2,B02,1,59,3,7,50,14,08
105,01,26,08,24,2,12內湖區,環東高架往南港方向,0,1,1,B03,2,39,2,7,60,10,07
105,01,26,08,24,2,12內湖區,環東高架往南港方向,0,1,2,,3,105,,7,60,10,07
105,01,30,08,03,2,12內湖區,內湖區新明路321巷,0,2,1,C03,1,30,2,6,50,3,01
105,01,30,08,03,2,12內湖區,內湖區新明路321巷,0,2,2,C03,1,31,2,6,50,3,01
105,02,01,12,07,2,12內湖區,內湖區瑞光路506號,0,1,1,B01,1,39,3,6,50,14,09
105,02,01,12,07,2,12內湖區,內湖區瑞光路506號,0,1,2,C03,1,23,2,6,50,14,09
105,02,13,22,15,2,12內湖區,內湖區潭美街355號,0,1,1,B03,1,33,3,8,40,14,09
105,02,13,22,15,2,12內湖區,內湖區潭美街355號,0,1,2,C03,1,51,2,8,40,14,09
105,01,12,20,17,2,12內湖區,內湖區內湖路1段115號,0,1,1,B01,1,64,3,6,50,14,08
105,01,12,20,17,2,12內湖區,內湖區內湖路1段115號,0,1,2,C03,1,25,2,6,50,14,08
105,01,25,17,40,2,12內湖區,內湖區潭美街763號,0,1,1,B03,1,38,3,8,50,14,09
105,01,25,17,40,2,12內湖區,內湖區潭美街763號,0,1,2,C03,1,19,2,8,50,14,09
105,02,02,20,00,2,12內湖區,內湖區安康路414巷2-12號,0,1,1,B12,1,32,3,6,50,14,09
105,02,02,20,00,2,12內湖區,內湖區安康路414巷2-12號,0,1,2,C03,1,29,2,6,50,14,09
105,02,02,23,05,2,12內湖區,內湖區金湖路14巷,0,1,1,B03,1,34,3,6,50,4,02
105,02,02,23,05,2,12內湖區,內湖區金湖路14巷,0,1,2,H01,2,35,2,6,50,4,02
105,03,13,21,54,2,12內湖區,內湖區康樂街,0,1,1,F01,1,48,2,6,50,14,09
105,03,13,21,54,2,12內湖區,內湖區康樂街,0,1,2,B03,1,35,3,6,50,14,09
105,03,15,20,20,2,12內湖區,內湖區洲子街與瑞光路513巷口,0,1,1,C03,1,18,2,6,50,4,01
105,03,15,20,20,2,12內湖區,內湖區洲子街與瑞光路513巷口,0,1,2,B03,1,35,3,6,50,4,01
105,03,12,19,16,2,12內湖區,內湖區潭美街557號,0,1,1,C03,1,52,2,6,40,14,09
105,03,12,19,16,2,12內湖區,內湖區潭美街557號,0,1,2,,3,105,,6,40,14,09
105,01,20,20,15,2,12內湖區,內湖區成功路2段與安康路口,0,1,2,H01,2,23,2,6,50,4,02
105,01,21,21,30,2,12內湖區,內湖區金龍路與內湖路2段口,0,1,1,C03,1,22,3,6,50,4,01
105,01,21,21,30,2,12內湖區,內湖區金龍路與內湖路2段口,0,1,2,C03,1,21,2,6,50,4,01
105,01,21,22,20,2,12內湖區,內湖區民權東路6段56巷與民權東路6段90巷16弄口,0,1,1,B03,2,23,3,6,50,3,01
105,01,21,22,20,2,12內湖區,內湖區民權東路6段56巷與民權東路6段90巷16弄口,0,1,2,H01,2,58,2,6,50,3,01
105,01,21,23,15,2,12內湖區,內湖區潭美街,0,1,1,C03,1,39,2,6,40,14,09
105,01,21,23,15,2,12內湖區,內湖區潭美街,0,1,2,B03,1,55,3,6,40,14,09
105,01,22,20,15,2,12內湖區,內湖區成功路5段與大湖街口,0,1,1,B03,1,18,3,6,50,4,01
105,01,22,20,15,2,12內湖區,內湖區成功路5段與大湖街口,0,1,2,H01,2,62,2,6,50,4,01
105,01,28,12,40,2,12內湖區,內湖區安泰街68巷5號,0,1,1,B03,1,22,3,6,40,3,01
105,01,28,12,40,2,12內湖區,內湖區安泰街68巷5號,0,1,2,C03,1,37,2,6,40,3,01
105,03,13,14,40,2,12內湖區,內湖區康樂街,0,1,1,B12,1,45,3,7,40,11,09
105,03,13,14,40,2,12內湖區,內湖區康樂街,0,1,2,F01,2,44,2,7,40,11,09
105,03,14,16,49,2,12內湖區,內湖區瑞光路132巷,0,1,1,C03,1,27,2,7,50,14,09
105,03,14,16,49,2,12內湖區,內湖區瑞光路132巷,0,1,2,,3,105,,7,50,14,09
105,01,03,06,20,2,12內湖區,內湖區康寧路3段與東湖路口,0,1,2,C03,1,23,2,6,50,3,01
105,01,03,06,20,2,12內湖區,內湖區康寧路3段與東湖路口,0,1,1,B01,1,45,3,6,50,3,01
105,01,15,18,30,2,12內湖區,內湖區康寧路3段99巷,0,1,1,C03,1,18,3,6,50,4,02
105,01,15,18,30,2,12內湖區,內湖區康寧路3段99巷,0,1,2,C03,2,31,2,6,50,4,02
105,01,22,18,20,2,12內湖區,內湖區舊宗路1段與南京東路6段口,0,1,1,B02,2,25,3,6,50,4,01
105,01,25,08,00,2,12內湖區,內湖區金湖路,0,2,1,B03,2,28,3,7,50,14,07
105,01,25,08,00,2,12內湖區,內湖區金湖路,0,2,2,C03,1,59,2,7,50,14,07
105,01,25,08,00,2,12內湖區,內湖區金湖路,0,2,3,H02,2,57,2,7,50,14,07
105,01,26,08,50,2,12內湖區,內湖區東湖路116號,0,1,1,C03,1,60,3,7,50,14,09
